0001;1.00;5000.00
0004;1.00;5000.00
0012;1.00;5000.00
0016;1.00;5000.00
0019;1.00;5000.00
0027;1.00;5000.00
0032;1.00;5000.00
0042;1.00;5000.00
0045;1.00;5000.00
0046;1.00;5000.00
0052;1.00;5000.00
0053;1.00;5000.00
0060;1.00;5000.00
0072;1.00;5000.00
0083;1.00;5000.00
0095;1.00;5000.00
0096;1.00;5000.00
0101;1.00;5000.00
0108;1.00;5000.00
0130;1.00;5000.00
0148;1.00;5000.00
0171;1.00;5000.00
0181;1.00;5000.00
0192;1.00;5000.00
0195;1.00;5000.00
0205;1.00;5000.00
0231;1.00;5000.00
0253;1.00;5000.00
0292;1.00;5000.00
0313;1.00;5000.00
0324;1.00;5000.00
0350;1.00;5000.00
0425;1.00;5000.00
0427;1.00;5000.00
0447;1.00;5000.00
0472;1.00;5000.00
0524;1.00;5000.00
0533;1.00;5000.00
0584;1.00;5000.00
0595;1.00;5000.00
